PageName,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Buried_Arc,Longitude,Latitude
BN64,-0.38,1.00,1.38,0.14,0.12,2516.61,0.14,0.29,0,716097,4339071
BN74,-0.46,0.95,1.41,0.06,0.13,1069.69,0.05,0.22,0,716147,4339071
BN75,-0.43,0.63,1.07,0.06,0.10,1019.38,0.05,0.19,0,716152,4339071
BN76,-0.55,0.70,1.25,0.10,0.09,1749.00,0.09,0.21,0,716157,4339071
BO55,-0.47,0.70,1.17,-0.05,0.10,-930.05,-0.06,0.08,0,716052,4339066
BO56,-0.42,0.87,1.29,0.00,0.12,-76.80,-0.01,0.14,0,716057,4339066
BO57,-0.27,0.45,0.72,0.05,0.09,939.58,0.05,0.17,0,716062,4339066
BO58,-0.25,0.46,0.72,0.08,0.09,1464.93,0.08,0.21,0,716067,4339066
BO59,-0.21,0.47,0.69,0.08,0.07,1479.71,0.08,0.17,0,716072,4339066
BO60,-0.23,0.62,0.85,0.10,0.10,1685.58,0.09,0.22,0,716077,4339066
BO61,-0.27,0.82,1.09,0.12,0.10,2051.76,0.11,0.24,0,716082,4339066
BO62,-0.29,0.71,1.00,0.11,0.09,1975.19,0.11,0.22,0,716087,4339066
BO63,-0.22,0.61,0.83,0.14,0.10,2441.49,0.13,0.26,0,716092,4339066
BO64,-0.40,0.99,1.39,0.16,0.12,2851.13,0.16,0.30,0,716097,4339066
BO72,-1.00,1.00,2.00,0.20,0.27,3508.19,0.14,0.51,0,716137,4339066
BO73,-0.41,1.00,1.41,0.12,0.16,2101.07,0.09,0.33,0,716142,4339066
BO74,-0.28,0.72,1.00,0.06,0.10,1042.75,0.05,0.19,0,716147,4339066
BO75,-0.53,1.00,1.53,0.15,0.19,2724.62,0.10,0.41,0,716152,4339066
BO76,-0.42,1.00,1.42,0.18,0.15,3238.74,0.16,0.35,0,716157,4339066
BP56,-0.38,0.83,1.21,0.08,0.14,1398.20,0.07,0.26,0,716057,4339061
BP57,-0.25,0.49,0.75,0.06,0.09,1057.63,0.06,0.17,0,716062,4339061
BP58,-0.33,0.48,0.81,0.13,0.08,2363.68,0.13,0.24,0,716067,4339061
BP59,-0.21,0.46,0.66,0.15,0.08,2623.25,0.15,0.25,0,716072,4339061
BP60,-0.15,0.58,0.73,0.18,0.08,3246.41,0.19,0.29,0,716077,4339061
BP61,-0.21,0.37,0.58,0.08,0.07,1368.38,0.08,0.16,0,716082,4339061
BP62,-0.34,0.60,0.93,0.09,0.09,1512.01,0.08,0.20,0,716087,4339061
BP63,-0.22,0.45,0.67,0.12,0.09,2153.22,0.12,0.23,0,716092,4339061
BP64,-0.42,1.00,1.42,0.15,0.13,2694.61,0.15,0.31,0,716097,4339061
BP71,-1.00,1.00,2.00,0.30,0.36,5097.44,0.22,1.00,0,716132,4339061
BP72,-0.90,1.00,1.90,0.36,0.27,6427.95,0.36,0.69,0,716137,4339061
BP73,-0.55,1.00,1.55,0.28,0.22,5029.00,0.28,0.55,0,716142,4339061
BP74,-0.52,1.00,1.52,0.15,0.22,2697.92,0.12,0.39,0,716147,4339061
BQ57,-0.23,0.50,0.73,0.13,0.09,2216.19,0.12,0.25,0,716062,4339056
BQ58,-0.21,0.48,0.69,0.16,0.09,2859.96,0.16,0.27,0,716067,4339056
BQ59,-0.20,0.47,0.67,0.14,0.07,2443.29,0.14,0.23,0,716072,4339056
BQ60,-0.40,0.76,1.16,0.19,0.11,3383.05,0.19,0.34,0,716077,4339056
BQ61,-0.24,0.46,0.69,0.11,0.09,1892.44,0.10,0.22,0,716082,4339056
BQ62,-0.20,0.50,0.70,0.11,0.07,1974.61,0.12,0.19,0,716087,4339056
BQ63,-0.24,0.56,0.80,0.18,0.09,3272.37,0.19,0.30,0,716092,4339056
BQ64,-0.41,1.00,1.41,0.18,0.16,3174.13,0.18,0.36,0,716097,4339056
BQ71,-0.49,1.00,1.49,0.32,0.22,5680.84,0.32,0.60,0,716132,4339056
BQ72,-0.76,1.00,1.76,0.40,0.21,7018.42,0.39,0.65,0,716137,4339056
BQ73,-0.63,1.00,1.63,0.36,0.22,6382.82,0.34,0.61,0,716142,4339056
BR57,-0.20,0.50,0.70,0.14,0.08,2394.79,0.14,0.23,0,716062,4339051
BR58,-0.20,0.51,0.71,0.11,0.10,1857.81,0.10,0.23,0,716067,4339051
BR59,-0.26,0.53,0.79,0.14,0.10,2557.12,0.15,0.27,0,716072,4339051
BR60,-0.15,0.56,0.71,0.22,0.09,3929.33,0.23,0.33,0,716077,4339051
BR61,-0.19,0.92,1.11,0.23,0.09,4027.60,0.22,0.34,0,716082,4339051
BR62,-0.23,0.44,0.67,0.11,0.08,1931.95,0.11,0.21,0,716087,4339051
BR63,-0.19,0.44,0.63,0.14,0.07,2394.11,0.13,0.22,0,716092,4339051
BR64,-0.20,0.52,0.72,0.16,0.09,2798.74,0.16,0.27,0,716097,4339051
BR70,-0.53,1.00,1.53,0.44,0.26,7923.67,0.42,0.84,0,716127,4339051
BR71,-0.57,1.00,1.57,0.49,0.22,8712.74,0.47,0.80,0,716132,4339051
BR73,-0.33,1.00,1.33,0.45,0.14,7891.25,0.43,0.61,0,716142,4339051
BS58,-0.17,0.56,0.72,0.13,0.10,2402.84,0.13,0.26,0,716067,4339046
BS59,-0.16,0.40,0.55,0.13,0.07,2239.74,0.13,0.22,0,716072,4339046
BS60,-0.10,0.63,0.73,0.20,0.08,3592.01,0.20,0.31,0,716077,4339046
BS61,-0.19,0.62,0.81,0.21,0.08,3753.41,0.21,0.32,0,716082,4339046
BS62,-0.27,0.65,0.92,0.18,0.10,3214.32,0.18,0.31,0,716087,4339046
BS63,-0.35,0.52,0.86,0.14,0.07,2443.65,0.14,0.21,0,716092,4339046
BS64,-0.34,0.54,0.88,0.21,0.09,3773.16,0.22,0.32,0,716097,4339046
BS65,-0.48,1.00,1.48,0.16,0.14,2843.87,0.16,0.34,0,716102,4339046
BS66,-0.94,1.00,1.94,0.19,0.20,3367.24,0.18,0.43,0,716107,4339046
BS67,-0.56,1.00,1.56,0.26,0.18,4659.17,0.26,0.48,0,716112,4339046
BS68,-0.82,1.00,1.82,0.32,0.32,5748.87,0.28,0.81,0,716117,4339046
BS69,-0.59,1.00,1.59,0.40,0.32,7076.13,0.35,0.96,0,716122,4339046
BT59,-0.15,0.51,0.66,0.16,0.09,2839.22,0.16,0.27,0,716072,4339041
BT60,-0.17,0.47,0.65,0.14,0.08,2487.01,0.14,0.24,0,716077,4339041
BT61,-0.20,0.61,0.81,0.15,0.10,2724.42,0.15,0.29,0,716082,4339041
BT62,-0.21,0.67,0.88,0.17,0.11,2927.46,0.16,0.31,0,716087,4339041
BT63,-0.21,0.83,1.04,0.18,0.10,3246.01,0.18,0.31,0,716092,4339041
BT64,-0.14,0.48,0.62,0.18,0.08,3130.22,0.17,0.28,0,716097,4339041
BT65,-0.22,1.00,1.22,0.22,0.11,3907.48,0.22,0.35,0,716102,4339041
BT66,-0.63,1.00,1.63,0.18,0.15,3144.74,0.18,0.36,0,716107,4339041
BT67,-0.51,1.00,1.51,0.19,0.21,3368.96,0.17,0.44,0,716112,4339041
BT68,-1.00,1.00,2.00,0.20,0.29,3557.93,0.18,0.56,0,716117,4339041
BU59,-0.14,0.66,0.80,0.25,0.11,4411.72,0.25,0.40,0,716072,4339036
BU60,-0.25,0.46,0.71,0.09,0.11,1653.14,0.09,0.24,0,716077,4339036
BU61,-0.31,0.52,0.83,0.04,0.10,746.91,0.04,0.16,0,716082,4339036
BU62,-0.26,0.67,0.93,0.11,0.11,1933.56,0.10,0.26,0,716087,4339036
BU63,-0.22,0.72,0.94,0.12,0.11,2192.47,0.11,0.27,0,716092,4339036
BU64,-0.39,0.73,1.12,0.12,0.11,2068.53,0.12,0.26,0,716097,4339036
BU65,-0.34,0.58,0.92,0.14,0.08,2489.38,0.14,0.24,0,716102,4339036
BU66,-0.53,0.90,1.44,0.17,0.14,3018.13,0.17,0.35,0,716107,4339036
BU67,-0.68,1.00,1.68,0.14,0.18,2389.43,0.13,0.36,0,716112,4339036
BU68,-1.00,1.00,2.00,0.17,0.31,2968.52,0.13,0.54,0,716117,4339036
BV61,-0.32,0.45,0.77,-0.01,0.09,-156.42,-0.01,0.11,0,716082,4339031
BV62,-0.29,0.54,0.84,0.02,0.09,438.14,0.02,0.14,0,716087,4339031
BV63,-0.26,0.44,0.70,0.07,0.09,1291.46,0.07,0.19,0,716092,4339031
BV64,-1.00,1.00,2.00,0.14,0.18,2398.53,0.11,0.36,0,716097,4339031
BV65,-0.44,1.00,1.44,0.15,0.13,2673.74,0.14,0.29,0,716102,4339031
BW62,-0.40,0.43,0.83,0.00,0.10,-5.39,0.00,0.13,0,716087,4339026
BW63,-0.34,1.00,1.34,0.10,0.14,1709.64,0.08,0.26,0,716092,4339026
BW64,-0.67,0.99,1.67,0.08,0.13,1371.73,0.08,0.22,0,716097,4339026
BW65,-0.40,0.62,1.03,0.10,0.11,1780.93,0.10,0.23,0,716102,4339026
BX63,-0.29,1.00,1.29,0.13,0.11,2402.57,0.13,0.26,0,716092,4339021
BX64,-0.22,0.46,0.68,0.10,0.08,1703.58,0.09,0.19,0,716097,4339021
BX65,-0.39,0.80,1.19,0.18,0.12,3228.84,0.17,0.33,0,716102,4339021
BY63,-0.30,0.46,0.76,0.10,0.09,1711.10,0.10,0.21,0,716092,4339016
